dry,wet,spr,ReportingNode
45.35929103,44.69493388,43.73307397,F300
67.4780411,74.90904418,68.26553672,F319
67.46882228,75.00185169,68.1988955,F34D
0,0,0,F45B
67.4895812,74.9882904,68.16973497,F57C
67.46948696,74.9882904,67.52783375,GLEN
67.4780411,74.90904418,68.26553672,LA1
66.83967391,74.9882904,68.43206961,LA11
53.14638698,54.78317683,51.68007841,LA13
52.58473411,54.7813347,53.01180738,LA14
67.4780411,74.90904418,68.26553672,LA2
45.3847194,44.72045039,44.54655727,LA20_2
0,0,0,LA20
67.46882228,74.93646451,68.26553672,LA3
67.59787573,74.9882904,68.1988955,LA8
